well_alias,well_canonical,campaign_code,campaign_id,estimator_scope,include_for_estimator,include_for_well_training,source_sheet,note,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-45OH,DRJ-45,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-46OH,DRJ-46,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-47OH,DRJ-47,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-49OH,DRJ-49,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-50OH,DRJ-50,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-51OH,DRJ-51,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-51OH,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-51OH,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-51OH,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-52,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-52OH,DRJ-52,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-52OH,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-52OH,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-52OH,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-53,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-54,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-55,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-56,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-57,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-STEAM 2,DRJ-54,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-STEAM 2,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-STEAM 3,DRJ-55,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-STEAM 3,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-STEAM 4,DRJ-56,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-STEAM 4,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-STEAM 5,DRJ-57,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-STEAM 5,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
DRJ-STEAM 6,DRJ-53,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-STEAM 6,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,alias_catalog,,,,,
MBA-6,MBA-6,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBA-6,MBA-6,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBA-6,MBA-6,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,General.Camp.Data,,,,,
MBA-6,MBA-6,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Phase.Summary,,,,,
MBA-6,MBA-6,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Structured.Cost,,,,,
MBA-7,MBA-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBA-7,MBA-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBA-7,MBA-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,General.Camp.Data,,,,,
MBA-7,MBA-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Phase.Summary,,,,,
MBA-7,MBA-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Structured.Cost,,,,,
MBD 8 WO,MBD-8WO,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBD-7,MBD-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBD-7,MBD-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBD-7,MBD-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,General.Camp.Data,,,,,
MBD-7,MBD-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Phase.Summary,,,,,
MBD-7,MBD-7,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Structured.Cost,,,,,
MBD-8,MBD-8,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBD-8,MBD-8,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBD-8,MBD-8,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,General.Camp.Data,,,,,
MBD-8,MBD-8,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Phase.Summary,,,,,
MBD-8,MBD-8,E500-2-0-8501-185003,WAYANG_WINDU_2018,in_scope,yes,yes,Structured.Cost,,,,,
MBD-8WO,MBD-8WO,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBD-8WO,MBD-8WO,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBD-8WO,MBD-8WO,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
MBE 06,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBE 07,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBE-6,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBE-6,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBE-6,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBE-6,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Phase.Summary,,,,,
MBE-6,MBE-6,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
MBE-7,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBE-7,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBE-7,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBE-7,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Phase.Summary,,,,,
MBE-7,MBE-7,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
MBI 1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBI-1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
MBI-1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
MBI-1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
MBI-1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Phase.Summary,,,,,
MBI-1,MBI-1,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
SF-1,DRJ-49,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
SF-1,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
SF-ML,DRJ-38,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
WELL 20 01,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
WELL 20 02,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
WELL S4 01,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
WELL S4 02,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
WELL S4 03,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
WWA 8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
WWA 9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
WWA-8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
WWA-8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
WWA-8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
WWA-8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Phase.Summary,,,,,
WWA-8,WWA-8,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
WWA-9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
WWA-9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
WWA-9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,General.Camp.Data,,,,,
WWA-9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Phase.Summary,,,,,
WWA-9,WWA-9,E500-30101-D205011,WAYANG_WINDU_2021,in_scope,yes,yes,Structured.Cost,,,,,
