field,campaign_code,campaign_canonical,campaign_year,well_canonical,well_name_actual,actual_depth_ft,actual_days,npt_days,active_operational_days,source_workbook,source_sheet
DARAJAT,E530-30101-D19001,DARAJAT_2019,2019,DRJ-44,DRJ-44,5860.000000,24.937500,0.041667,24.895833,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D19001,DARAJAT_2019,2019,DRJ-45,DRJ-45,5977.000000,65.302083,1.333333,63.968750,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D19001,DARAJAT_2019,2019,DRJ-46,DRJ-46,5836.000000,40.687500,0.083333,40.604167,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D19001,DARAJAT_2019,2019,DRJ-47,DRJ-47,5902.000000,25.000000,0.125000,24.875000,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D19001,DARAJAT_2019,2019,DRJ-48,DRJ-48,5399.500000,21.479167,0.052083,21.427083,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D225301,DARAJAT_2022,2022,DRJ-38,DRJ-38RD,6748.000000,30.000000,3.812500,26.187500,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D225301,DARAJAT_2022,2022,DRJ-49,DRJ-49,6310.000000,35.020833,0.083333,34.937500,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D225301,DARAJAT_2022,2022,DRJ-50,DRJ-50,5749.000000,29.229167,0.072917,29.156250,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D225301,DARAJAT_2022,2022,DRJ-51,DRJ-51,4993.000000,29.437500,0.208333,29.229167,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D225301,DARAJAT_2022,2022,DRJ-52,DRJ-52,5765.000000,20.375000,0.062500,20.312500,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D235301,DARAJAT_2023_2024,2024,DRJ-53,DRJ-53,6500.000000,22.770833,0.145833,22.625000,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D235301,DARAJAT_2023_2024,2024,DRJ-54,DRJ-54,6014.000000,29.687500,6.916667,22.770833,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D235301,DARAJAT_2023_2024,2024,DRJ-55,DRJ-55,6000.000000,18.229167,0.270833,17.958333,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D235301,DARAJAT_2023_2024,2024,DRJ-56,DRJ-56,6500.000000,50.312500,0.083333,50.229167,20260422_Data for Dashboard.xlsx,General.Camp.Data
DARAJAT,E530-30101-D235301,DARAJAT_2023_2024,2024,DRJ-57,DRJ-57,6000.000000,18.854167,0.020833,18.833333,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D20001,SALAK_2021,2021,AWI 16-8,AWI 16-8,5000.000000,17.250000,0.114583,17.135417,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D20001,SALAK_2021,2021,AWI 16-9,AWI 16-9,5379.000000,18.270833,0.000000,18.270833,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D20001,SALAK_2021,2021,AWI 21-5,AWI 21-5,4685.000000,22.062500,0.072917,21.989583,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D20001,SALAK_2021,2021,AWI 21-6,AWI 21-6,4918.000000,8.916667,0.000000,8.916667,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D20001,SALAK_2021,2021,AWI 9-10,AWI 9-10,8919.000000,22.000000,0.041667,21.958333,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 2-6,AWI 2-6,5484.000000,11.041667,0.458333,10.583333,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 2-7 ML,AWI 2-7 ML,5497.000000,26.000000,0.041667,25.958333,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 21-7,AWI 21-7,5060.000000,16.416667,0.083333,16.333333,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 21-8,AWI 21-8,4055.000000,13.916667,0.187500,13.729167,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 23-1,AWI 23-1,9000.000000,13.697917,0.041667,13.656250,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 23-2,AWI 23-2,8050.000000,20.000000,0.020833,19.979167,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 3-9,AWI 3-9,5500.000000,12.583333,0.145833,12.437500,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 9-10 RD,AWI 9-10 RD,0.000000,0.000000,0.000000,0.000000,20260422_Data for Dashboard.xlsx,General.Camp.Data
SALAK,E540-30101-D245401,SALAK_2025_2026,2025,AWI 9-11,AWI 9-11,9000.000000,11.333333,0.125000,11.208333,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,2018,MBA-6,MBA-6,5732.000000,27.250000,0.020833,27.229167,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,2018,MBA-7,MBA-7,4965.000000,24.895833,1.531250,23.364583,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,2018,MBD-7,MBD-7,4997.000000,38.770833,0.125000,38.645833,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-2-0-8501-185003,WAYANG_WINDU_2018,2018,MBD-8,MBD-8,4140.000000,50.604167,2.187500,48.416667,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,MBD-8WO,MBD-8WO,0.000000,0.000000,0.000000,0.000000,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,MBE-6,MBE-6,4500.000000,15.229167,0.125000,15.104167,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,MBE-7,MBE-7,7065.000000,24.104167,0.291667,23.812500,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,MBI-1,MBI-1,4325.000000,10.916667,0.020833,10.895833,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,WWA-8,WWA-8,5263.000000,45.229167,0.843750,44.385417,20260422_Data for Dashboard.xlsx,General.Camp.Data
WAYANG_WINDU,E500-30101-D205011,WAYANG_WINDU_2021,2021,WWA-9,WWA-9,7158.000000,14.854167,0.062500,14.791667,20260422_Data for Dashboard.xlsx,General.Camp.Data
