classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020298-D225301,DARAJAT,E530-301010202-D225301,E530-30101020298-D225301,55784.640000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297758-D225301|E530-30129775816-D225301,DARAJAT,E530-301297758-D225301,E530-30129775816-D225301,55128.710000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010298-D225301,DARAJAT,E530-301010102-D225301,E530-30101010298-D225301,54349.720000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030211-D225301,DARAJAT,E530-301010302-D225301,E530-30101030211-D225301,53644.740000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050298-D225301,DARAJAT,E530-301010502-D225301,E530-30101050298-D225301,53020.160000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020224-D225301,DARAJAT,E530-301010202-D225301,E530-30101020224-D225301,51925.490000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010211-D225301,DARAJAT,E530-301010102-D225301,E530-30101010211-D225301,51885.170000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037404-D245401|E540-30203740460-D245401,SALAK,E540-302037404-D245401,E540-30203740460-D245401,51256.190000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016102-D245401|E540-30101610205-D245401,SALAK,E540-301016102-D245401,E540-30101610205-D245401,41503.930000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030224-D225301,DARAJAT,E530-301010302-D225301,E530-30101030224-D225301,41017.020000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040224-D225301,DARAJAT,E530-301010402-D225301,E530-30101040224-D225301,40807.210000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010224-D225301,DARAJAT,E530-301010102-D225301,E530-30101010224-D225301,40772.110000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012978-D235301|E530-301297856-D235301|E530-30129785627-D235301,DARAJAT,E530-301297856-D235301,E530-30129785627-D235301,37958.170000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050224-D225301,DARAJAT,E530-301010502-D225301,E530-30101050224-D225301,36907.270000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030214-D225301,DARAJAT,E530-301010302-D225301,E530-30101030214-D225301,35818.980000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040213-D225301,DARAJAT,E530-301010402-D225301,E530-30101040213-D225301,34905.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050211-D225301,DARAJAT,E530-301010502-D225301,E530-30101050211-D225301,34670.490000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040294-D225301,DARAJAT,E530-301010402-D225301,E530-30101040294-D225301,33042.430000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012978-D225301|E530-301297862-D225301|E530-30129786227-D225301,DARAJAT,E530-301297862-D225301,E530-30129786227-D225301,32221.370000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020294-D225301,DARAJAT,E530-301010202-D225301,E530-30101020294-D225301,32029.560000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050213-D225301,DARAJAT,E530-301010502-D225301,E530-30101050213-D225301,30000.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010213-D225301,DARAJAT,E530-301010102-D225301,E530-30101010213-D225301,29312.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012978-D225301|E530-301297856-D225301|E530-30129785627-D225301,DARAJAT,E530-301297856-D225301,E530-30129785627-D225301,29263.280000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030213-D225301,DARAJAT,E530-301010302-D225301,E530-30101030213-D225301,29229.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012978-D245401|E540-301297856-D245401|E540-30129785627-D245401,SALAK,E540-301297856-D245401,E540-30129785627-D245401,23682.080000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010173-D235301|E530-301017311-D235301|E530-30101731160-D235301,DARAJAT,E530-301017311-D235301,E530-30101731160-D235301,22676.260000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297758-D235301|E530-30129775816-D235301,DARAJAT,E530-301297758-D235301,E530-30129775816-D235301,22092.530000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297759-D235301|E530-30129775920-D235301,DARAJAT,E530-301297759-D235301,E530-30129775920-D235301,20422.640000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012982-D235301|E530-301298264-D235301|E530-30129826460-D235301,DARAJAT,E530-301298264-D235301,E530-30129826460-D235301,20405.190000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010217-D225301,DARAJAT,E530-301010102-D225301,E530-30101010217-D225301,20360.220000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297727-D235301|E530-30129772724-D235301,DARAJAT,E530-301297727-D235301,E530-30129772724-D235301,19289.670000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297726-D225301|E530-30129772624-D225301,DARAJAT,E530-301297726-D225301,E530-30129772624-D225301,18968.040000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297757-D235301|E530-30129775736-D235301,DARAJAT,E530-301297757-D235301,E530-30129775736-D235301,18729.870000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030217-D225301,DARAJAT,E530-301010302-D225301,E530-30101030217-D225301,16468.120000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020217-D225301,DARAJAT,E530-301010202-D225301,E530-30101020217-D225301,16329.480000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040297-D225301,DARAJAT,E530-301010402-D225301,E530-30101040297-D225301,16005.340000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040220-D225301,DARAJAT,E530-301010402-D225301,E530-30101040220-D225301,15440.290000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010294-D225301,DARAJAT,E530-301010102-D225301,E530-30101010294-D225301,14136.940000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012980-D225301|E530-301298052-D225301|E530-30129805264-D225301,DARAJAT,E530-301298052-D225301,E530-30129805264-D225301,14086.900000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012980-D245401|E540-301298052-D245401|E540-30129805264-D245401,SALAK,E540-301298052-D245401,E540-30129805264-D245401,13129.990000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050220-D225301,DARAJAT,E530-301010502-D225301,E530-30101050220-D225301,13026.140000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030220-D225301,DARAJAT,E530-301010302-D225301,E530-30101030220-D225301,12880.890000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050297-D225301,DARAJAT,E530-301010502-D225301,E530-30101050297-D225301,12413.280000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040217-D225301,DARAJAT,E530-301010402-D225301,E530-30101040217-D225301,12170.250000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297759-D225301|E530-30129775920-D225301,DARAJAT,E530-301297759-D225301,E530-30129775920-D225301,11182.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030297-D225301,DARAJAT,E530-301010302-D225301,E530-30101030297-D225301,10851.890000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020220-D225301,DARAJAT,E530-301010202-D225301,E530-30101020220-D225301,8354.050000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010297-D225301,DARAJAT,E530-301010102-D225301,E530-30101010297-D225301,7705.260000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020297-D225301,DARAJAT,E530-301010202-D225301,E530-30101020297-D225301,7619.820000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012977-D245401|E540-301297759-D245401|E540-30129775929-D245401,SALAK,E540-301297759-D245401,E540-30129775929-D245401,6855.030000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297757-D225301|E530-30129775736-D225301,DARAJAT,E530-301297757-D225301,E530-30129775736-D225301,5799.380000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012982-D245401|E540-301298265-D245401|E540-30129826585-D245401,SALAK,E540-301298265-D245401,E540-30129826585-D245401,5138.140000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012982-D225301|E530-301298264-D225301|E530-30129826460-D225301,DARAJAT,E530-301298264-D225301,E530-30129826460-D225301,5049.740000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012982-D245401|E540-301298264-D245401|E540-30129826460-D245401,SALAK,E540-301298264-D245401,E540-30129826460-D245401,4000.060000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040204-D225301,DARAJAT,E530-301010402-D225301,E530-30101040204-D225301,1311.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050204-D225301,DARAJAT,E530-301010502-D225301,E530-30101050204-D225301,999.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010204-D225301,DARAJAT,E530-301010102-D225301,E530-30101010204-D225301,980.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030204-D225301,DARAJAT,E530-301010302-D225301,E530-30101030204-D225301,974.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012977-D245401|E540-301297757-D245401|E540-30129775736-D245401,SALAK,E540-301297757-D245401,E540-30129775736-D245401,951.750000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020204-D225301,DARAJAT,E530-301010202-D225301,E530-30101020204-D225301,679.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050296-D225301,DARAJAT,E530-301010502-D225301,E530-30101050296-D225301,173.860000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010220-D225301,DARAJAT,E530-301010102-D225301,E530-30101010220-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010247-D225301,DARAJAT,E530-301010102-D225301,E530-30101010247-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010295-D225301,DARAJAT,E530-301010102-D225301,E530-30101010295-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010296-D225301,DARAJAT,E530-301010102-D225301,E530-30101010296-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020214-D225301,DARAJAT,E530-301010202-D225301,E530-30101020214-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020247-D225301,DARAJAT,E530-301010202-D225301,E530-30101020247-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020295-D225301,DARAJAT,E530-301010202-D225301,E530-30101020295-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020296-D225301,DARAJAT,E530-301010202-D225301,E530-30101020296-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030247-D225301,DARAJAT,E530-301010302-D225301,E530-30101030247-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030295-D225301,DARAJAT,E530-301010302-D225301,E530-30101030295-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030296-D225301,DARAJAT,E530-301010302-D225301,E530-30101030296-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040214-D225301,DARAJAT,E530-301010402-D225301,E530-30101040214-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040247-D225301,DARAJAT,E530-301010402-D225301,E530-30101040247-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040295-D225301,DARAJAT,E530-301010402-D225301,E530-30101040295-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040296-D225301,DARAJAT,E530-301010402-D225301,E530-30101040296-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050217-D225301,DARAJAT,E530-301010502-D225301,E530-30101050217-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050247-D225301,DARAJAT,E530-301010502-D225301,E530-30101050247-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050295-D225301,DARAJAT,E530-301010502-D225301,E530-30101050295-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010172-D225301|E530-301017299-D225301|E530-30101729921-D225301,DARAJAT,E530-301017299-D225301,E530-30101729921-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015604-D235301|E530-30101560423-D235301,DARAJAT,E530-301015604-D235301,E530-30101560423-D235301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010172-D235301|E530-301017299-D235301|E530-30101729921-D235301,DARAJAT,E530-301017299-D235301,E530-30101729921-D235301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297726-D225301|E530-30129772699-D225301,DARAJAT,E530-301297726-D225301,E530-30129772699-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297759-D225301|E530-30129775943-D225301,DARAJAT,E530-301297759-D225301,E530-30129775943-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012982-D225301|E530-301298265-D225301|E530-30129826504-D225301,DARAJAT,E530-301298265-D225301,E530-30129826504-D225301,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015601-D245401|E540-30101560105-D245401,SALAK,E540-301015601-D245401,E540-30101560105-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010156-D245401|E540-301015604-D245401|E540-30101560405-D245401,SALAK,E540-301015604-D245401,E540-30101560405-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016101-D245401|E540-30101610105-D245401,SALAK,E540-301016101-D245401,E540-30101610105-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016103-D245401|E540-30101610305-D245401,SALAK,E540-301016103-D245401,E540-30101610305-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016104-D245401|E540-30101610405-D245401,SALAK,E540-301016104-D245401,E540-30101610405-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016104-D245401|E540-30101610423-D245401,SALAK,E540-301016104-D245401,E540-30101610423-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010172-D245401|E540-301017299-D245401|E540-30101729921-D245401,SALAK,E540-301017299-D245401,E540-30101729921-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010195-D245401|E540-301019568-D245401|E540-30101956814-D245401,SALAK,E540-301019568-D245401,E540-30101956814-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037407-D245401|E540-30203740703-D245401,SALAK,E540-302037407-D245401,E540-30203740703-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037407-D245401|E540-30203740760-D245401,SALAK,E540-302037407-D245401,E540-30203740760-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037408-D245401|E540-30203740803-D245401,SALAK,E540-302037408-D245401,E540-30203740803-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037408-D245401|E540-30203740860-D245401,SALAK,E540-302037408-D245401,E540-30203740860-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037409-D245401|E540-30203740903-D245401,SALAK,E540-302037409-D245401,E540-30203740903-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037409-D245401|E540-30203740960-D245401,SALAK,E540-302037409-D245401,E540-30203740960-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020393-D245401|E540-302039309-D245401|E540-30203930961-D245401,SALAK,E540-302039309-D245401,E540-30203930961-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30299-D245401|E540-3029901-D245401|E540-302990115-D245401|E540-30299011521-D245401,SALAK,E540-302990115-D245401,E540-30299011521-D245401,0.000000,campaign,default_for_shared_or_unknown_scope
